ticket_id,created_at,category,description,priority,resolution_time_hours,satisfaction,channel,is_resolved
E001,2025-03-01 09:13,配送延迟,快递已经 3 天没有物流更新了,中,8,2,电话,True
E002,2025-03-02 10:26,配送延迟,显示已签收但我根本没收到,高,48,1,邮件,True
E003,2025-03-03 11:39,配送延迟,包裹被退回了，我没让退,高,36,1,在线,True
E004,2025-03-04 12:52,配送延迟,下单五天了还没发货,中,12,2,电话,True
E005,2025-03-05 13:05,配送延迟,快递员说放门口了，但没收到,中,24,3,邮件,True
E006,2025-03-06 14:18,配送延迟,派送中已经两天没动了,低,6,3,在线,False
E007,2025-03-07 15:31,发票问题,发票抬头开错了，需要重开,中,20,3,电话,True
E008,2025-03-08 16:44,发票问题,电子发票下载不了,低,4,4,邮件,True
E009,2025-03-09 17:57,发票问题,发票金额和订单不一致,高,30,2,在线,True
E010,2025-03-10 08:10,发票问题,要开公司抬头的专票，怎么弄,低,2,5,电话,True
E011,2025-03-01 09:23,发票问题,发票一直没寄到,中,72,1,邮件,True
E012,2025-03-02 10:36,尺码咨询,这件外套偏大吗，M 码适合 160 吗,低,1,5,在线,False
E013,2025-03-03 11:49,尺码咨询,想换成小一号的尺码,中,24,3,电话,True
E014,2025-03-04 12:02,尺码咨询,鞋码和平时运动鞋一样吗,低,1,4,邮件,True
E015,2025-03-05 13:15,尺码咨询,换货要自己出运费吗,中,18,2,在线,True
E016,2025-03-06 14:28,尺码咨询,儿童款 130 码对应几岁,低,1,5,电话,True
E017,2025-03-07 15:41,支付异常,重复扣款了，请帮我退回来,高,6,1,邮件,True
E018,2025-03-08 16:54,支付异常,付款成功但订单没生成,高,4,2,在线,False
E019,2025-03-09 17:07,支付异常,结算页面打不开，刷新了好几次,中,1,3,电话,True
E020,2025-03-10 08:20,支付异常,信用卡扣款成功，订单显示待支付,高,8,1,邮件,True
E021,2025-03-01 09:33,包装破损,收到的商品是破损的,高,40,1,在线,True
E022,2025-03-02 10:46,包装破损,包装被压扁了，里面的杯子碎了,高,36,2,电话,True
E023,2025-03-03 11:59,包装破损,外箱有破损，商品还能用就算了,低,5,4,邮件,True
E024,2025-03-04 12:12,包装破损,漏液了，包装全是湿的,中,26,2,在线,False
